Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Sinestro	<p><b>Thaal Sinestro</b> (<span></span>) is a supervillain appearing in American comic books published by DC Comics, particularly those featuring Green Lantern. Sinestro is a former Green Lantern Corps member who was dishonorably discharged for abusing his power. He is the archnemesis of Hal Jordan and founder of the Sinestro Corps. </p><p>Sinestro made his cinematic debut in the 2011 film <i>Green Lantern</i>, played by Mark Strong. </p>	thaal sinestro is a supervillain appearing in american comic books published by dc comics particularly those featuring green lantern sinestro is a former green lantern corps member who was dishonorably discharged for abusing his power he is the archnemesis of hal jordan and founder of the sinestro corps sinestro made his cinematic debut in the 2011 film green lantern played by mark strong	fictional supervillain in the DC Comics Universe	fictional supervillain in the dc comics universe	Astronauts
Abin Sur	<p><b>Abin Sur</b> is a fictional superhero from the DC Comics universe. He was a member of the Green Lantern Corps and is best known as the predecessor of Green Lantern Hal Jordan, whom Abin Sur's power ring chose as his replacement. After the <i>Infinite Crisis</i> events, details of Abin Sur's past is altered and was revealed to be a brother-in-law of Sinestro and uncle of his daughter Soranik Natu. He was modeled after Yul Brynner. </p>	abin sur is a fictional superhero from the dc comics universe he was a member of the green lantern corps and is best known as the predecessor of green lantern hal jordan whom abin surs power ring chose as his replacement after the infinite crisis events details of abin surs past is altered and was revealed to be a brotherinlaw of sinestro and uncle of his daughter soranik natu he was modeled after yul brynner	DC Comics character	dc comics character	Astronauts
Tomar-Tu	"<p><b>Tomar-Tu</b> is a fictional character, a Green Lantern featured in comic books published by DC Comics. He is a member of an extraterrestrial race called Xudarians. Tomar-Tu is the son and successor of another Green Lantern Corps officer Tomar-Re. He first appeared in <i>Green Lantern</i> (vol. 3) #4 story titled ""Among My Souvenirs"". He became a Green Lantern in <i>Green Lantern</i> (vol. 3) #24 (May 1992) in a story titled ""The Decision"". He was created by Gerard Jones. </p>"	tomartu is a fictional character a green lantern featured in comic books published by dc comics he is a member of an extraterrestrial race called xudarians tomartu is the son and successor of another green lantern corps officer tomarre he first appeared in green lantern vol 3 4 story titled among my souvenirs he became a green lantern in green lantern vol 3 24 may 1992 in a story titled the decision he was created by gerard jones	fictional character	fictional character	Astronauts
Arisia Rrab	"<p><b>Arisia Rrab</b> is a fictional superheroine appearing in publications by the American publisher DC Comics, usually those featuring the Green Lantern Corps, an intergalactic police force of which she is a member. Arisia is a humanoid alien with golden-yellow skin, hair and eyes, and has pointed, elven ears.</p><p>Arisia is named after the planet Arisia in the <i>Lensman</i> novels by E.E. Smith. Along with Eddore of Tront, she was created by writer Mike W. Barr as a tip of the hat to the groundbreaking series in his <i>Tales of the Green Lantern Corps</i> miniseries in 1981. Her last name is ""Barr"" spelled backward (note that her last name was added later, not by creator Barr). </p>"	arisia rrab is a fictional superheroine appearing in publications by the american publisher dc comics usually those featuring the green lantern corps an intergalactic police force of which she is a member arisia is a humanoid alien with goldenyellow skin hair and eyes and has pointed elven earsarisia is named after the planet arisia in the lensman novels by ee smith along with eddore of tront she was created by writer mike w barr as a tip of the hat to the groundbreaking series in his tales of the green lantern corps miniseries in 1981 her last name is barr spelled backward note that her last name was added later not by creator barr	DC Comics character	dc comics character	Astronauts
Tomar-Re	<p><b>Tomar-Re</b> is a fictional DC Comics character, and a member of the Green Lantern Corps. He is also the predecessor and father of Tomar-Tu. </p><p>The character appeared in the 2011 <i>Green Lantern</i> film with his voice provided by Academy Award-Winner, Geoffrey Rush. </p>	tomarre is a fictional dc comics character and a member of the green lantern corps he is also the predecessor and father of tomartu the character appeared in the 2011 green lantern film with his voice provided by academy awardwinner geoffrey rush	character in DC Comics	character in dc comics	Astronauts
Isamot Kol	<p><b>Isamot Kol</b> is a fictional comic book superhero, an extraterrestrial from the planet Thanagar, and a member of the intergalactic police force known as the Green Lantern Corps. He first appeared in DC Comics' <i>Green Lantern Corps: Recharge</i> #1 (November 2005), and was created by writers Geoff Johns and Dave Gibbons, and artist Patrick Gleason. He was named after editor Peter Tomasi, in that Isamot is Tomasi spelled backwards. </p>	isamot kol is a fictional comic book superhero an extraterrestrial from the planet thanagar and a member of the intergalactic police force known as the green lantern corps he first appeared in dc comics green lantern corps recharge 1 november 2005 and was created by writers geoff johns and dave gibbons and artist patrick gleason he was named after editor peter tomasi in that isamot is tomasi spelled backwards	fictional character	fictional character	Astronauts
Soranik Natu	<p><b>Soranik Natu</b> is a fictional character, current leader of the Sinestro Corps, and a former member of the Green Lantern Corps in the DC Comics Universe. She first appears in <i>Green Lantern Corps: Recharge</i> #1 (November 2005), and was created by writers Geoff Johns, Dave Gibbons, and artist Patrick Gleason.</p><p>Soranik is an extraterrestrial from the planet Korugar, and a Green Lantern successor of Katma Tui. She has been revealed as a daughter of the villain Sinestro, and her mother is Sinestro's late wife Arin Sur (<i>Green Lantern Corps</i> Vol. 2 #35, April 2009), which makes her the niece of Hal Jordan's predecessor, Abin Sur. Soranik was also the love interest of Green Lantern Kyle Rayner before ending the relationship after uncovering his continued affections for his deceased former love interest Jade. </p> 	soranik natu is a fictional character current leader of the sinestro corps and a former member of the green lantern corps in the dc comics universe she first appears in green lantern corps recharge 1 november 2005 and was created by writers geoff johns dave gibbons and artist patrick gleasonsoranik is an extraterrestrial from the planet korugar and a green lantern successor of katma tui she has been revealed as a daughter of the villain sinestro and her mother is sinestros late wife arin sur green lantern corps vol 2 35 april 2009 which makes her the niece of hal jordans predecessor abin sur soranik was also the love interest of green lantern kyle rayner before ending the relationship after uncovering his continued affections for his deceased former love interest jade	fictional character in the DC Comics Universe	fictional character in the dc comics universe	Astronauts
Simon Baz	"<p><b>Simon Baz</b> is a fictional superhero appearing in books published by DC Comics, created by writer Geoff Johns and artist Doug Mahnke. Baz is an officer of the Green Lantern Corps, an extraterrestrial police force. The character made his debut in 2012 following DC's 2011 company-wide relaunch as part of its <i>Green Lantern</i> story arc ""Rise of the Third Army"", in which he replaces Silver Age hero Hal Jordan as the Green Lantern of Earth's sector.</p><p>Prior to his debut, the character made an unnamed cameo in <i>The New 52 Free Comic Book Day Special Edition</i> #1. DC later added Baz to its flagship team-up title <i>Justice League of America</i> in 2013. DC Comics confirmed that Simon Baz is a Lebanese-Arab American and Muslim, and currently resides in Dearborn, near Detroit.</p>"	simon baz is a fictional superhero appearing in books published by dc comics created by writer geoff johns and artist doug mahnke baz is an officer of the green lantern corps an extraterrestrial police force the character made his debut in 2012 following dcs 2011 companywide relaunch as part of its green lantern story arc rise of the third army in which he replaces silver age hero hal jordan as the green lantern of earths sectorprior to his debut the character made an unnamed cameo in the new 52 free comic book day special edition 1 dc later added baz to its flagship teamup title justice league of america in 2013 dc comics confirmed that simon baz is a lebanesearab american and muslim and currently resides in dearborn near detroit	fictional comic book superhero appearing in books published by DC Comics	fictional comic book superhero appearing in books published by dc comics	Astronauts
Jessica Cruz	<p><b>Jessica Cruz</b> is a fictional superhero appearing in American comic books published by DC Comics. Created by Geoff Johns, Doug Mahnke, Ivan Reis and Ethan Van Sciver, she is a member of the Green Lantern Corps and the Justice League. Her first full appearance takes place in <i>Justice League</i> (vol. 2) #31 (August 2014), which is also her first cover appearance. Cruz is of Mexican and Honduran descent, and currently resides in Portland, Oregon.</p><p>The character will make her cinematic debut in the animated feature film, <i>DC League of Super-Pets</i>. With her voice provided by Dascha Polanco. </p> 	jessica cruz is a fictional superhero appearing in american comic books published by dc comics created by geoff johns doug mahnke ivan reis and ethan van sciver she is a member of the green lantern corps and the justice league her first full appearance takes place in justice league vol 2 31 august 2014 which is also her first cover appearance cruz is of mexican and honduran descent and currently resides in portland oregonthe character will make her cinematic debut in the animated feature film dc league of superpets with her voice provided by dascha polanco	DC Comics character	dc comics character	Astronauts
Wally Funk	"<p class=""mw-empty-elt""> </p> <p><b>Mary Wallace Funk</b> (born February 1, 1939) is an American aviator, commercial astronaut, and Goodwill Ambassador. She was the first female air safety investigator for the National Transportation Safety Board, the first female civilian flight instructor at Fort Sill, Oklahoma, and the first female Federal Aviation Agency inspector, as well as one of the Mercury 13.</p><p>Funk became the oldest person to go to space on July 20, 2021 at age 82, flying on Blue Origin's New Shepard spacecraft during its suborbital flight, breaking a record held by John Glenn for 23 years. Her record would stand until later that year when William Shatner's flight took place on October 13; Shatner was age 90 at the time. Funk continues to hold the record for the oldest woman to travel to space. </p><p>Together with Gene Nora Jessen, Funk is one of the last two surviving members of the Mercury 13 group. She is also the only one of the thirteen to have traveled to space. </p>"	mary wallace funk born february 1 1939 is an american aviator commercial astronaut and goodwill ambassador she was the first female air safety investigator for the national transportation safety board the first female civilian flight instructor at fort sill oklahoma and the first female federal aviation agency inspector as well as one of the mercury 13funk became the oldest person to go to space on july 20 2021 at age 82 flying on blue origins new shepard spacecraft during its suborbital flight breaking a record held by john glenn for 23 years her record would stand until later that year when william shatners flight took place on october 13 shatner was age 90 at the time funk continues to hold the record for the oldest woman to travel to space together with gene nora jessen funk is one of the last two surviving members of the mercury 13 group she is also the only one of the thirteen to have traveled to space	American aviator and astronaut	american aviator and astronaut	Astronauts
Frederick W. Sturckow	<p><b>Frederick Wilford Sturckow</b> (born August 11, 1961) is an engineer, retired United States Marine Corps officer, former NASA astronaut, and commercial spacecraft pilot. Sturckow is a veteran of four Space Shuttle missions. He flew on STS-88 and STS-105 as a pilot and STS-117 and STS-128 as a commander. All four missions docked with the International Space Station, making Sturckow one of three American astronauts to visit the station four times. Sturckow later was assigned to the Johnson Space Center as a CAPCOM. He left NASA in 2013 to become a pilot for Virgin Galactic.</p>	frederick wilford sturckow born august 11 1961 is an engineer retired united states marine corps officer former nasa astronaut and commercial spacecraft pilot sturckow is a veteran of four space shuttle missions he flew on sts88 and sts105 as a pilot and sts117 and sts128 as a commander all four missions docked with the international space station making sturckow one of three american astronauts to visit the station four times sturckow later was assigned to the johnson space center as a capcom he left nasa in 2013 to become a pilot for virgin galactic	American astronaut	american astronaut	Astronauts
Peter Siebold	"<p class=""mw-empty-elt""> </p> <p><b>Peter Siebold</b> (born 1971) is a member of the Scaled Composites astronaut team. He is their Director of Flight Operations, and was one of the test pilots for SpaceShipOne and SpaceShipTwo, the experimental spaceplanes developed by the company. On April 8, 2004, Siebold piloted the second powered test flight of SpaceShipOne, flight 13P, which reached a top speed of Mach 1.6 and an altitude of 32.0 kilometres (105,000 ft). On October 31, 2014, Siebold and Michael Alsbury were piloting the SpaceShipTwo VSS <i>Enterprise</i> on flight PF04, when the craft came apart in mid-air and then crashed, killing Alsbury and injuring Siebold. </p>"	peter siebold born 1971 is a member of the scaled composites astronaut team he is their director of flight operations and was one of the test pilots for spaceshipone and spaceshiptwo the experimental spaceplanes developed by the company on april 8 2004 siebold piloted the second powered test flight of spaceshipone flight 13p which reached a top speed of mach 16 and an altitude of 320 kilometres 105000 ft on october 31 2014 siebold and michael alsbury were piloting the spaceshiptwo vss enterprise on flight pf04 when the craft came apart in midair and then crashed killing alsbury and injuring siebold	American astronaut	american astronaut	Astronauts
Michael Strahan	"<p class=""mw-empty-elt""> </p> <p><b>Michael T. Strahan</b> (<span></span> <i title=""English pronunciation respelling""><span>STRAY</span>-hann</i>; born November 21, 1971) is an American television personality, journalist, and former professional American football player. He played his entire 15-year professional career for the New York Giants of the National Football League. A dominant pass rusher, Strahan is currently tied with T. J. Watt for the most NFL single-season quarterback sacks, and helped the Giants win Super Bowl XLII over the New England Patriots in his final season in 2007. </p><p>Since retiring from the NFL, he has become a media personality, appearing as a football analyst on <i>Fox NFL Sunday</i>, and later serving as a co-host of ABC's <i>Good Morning America</i> as well as <i>Live! with Kelly and Michael</i> with Kelly Ripa from 2012 to 2016, for which he won two Daytime Emmy Awards, plus guest appearances on game shows and other programs. In 2014, he became a regular contributor on <i>Good Morning America</i>, and in 2016 the network announced that Strahan would be leaving <i>Live!</i> to join <i>GMA</i> full-time. He also hosts the current incarnation of the <i>Pyramid</i> game show for ABC. </p><p>Strahan was inducted into the Pro Football Hall of Fame in 2014, and does charity work that benefits youth and community development, among other causes. </p>"	michael t strahan strayhann born november 21 1971 is an american television personality journalist and former professional american football player he played his entire 15year professional career for the new york giants of the national football league a dominant pass rusher strahan is currently tied with t j watt for the most nfl singleseason quarterback sacks and helped the giants win super bowl xlii over the new england patriots in his final season in 2007 since retiring from the nfl he has become a media personality appearing as a football analyst on fox nfl sunday and later serving as a cohost of abcs good morning america as well as live with kelly and michael with kelly ripa from 2012 to 2016 for which he won two daytime emmy awards plus guest appearances on game shows and other programs in 2014 he became a regular contributor on good morning america and in 2016 the network announced that strahan would be leaving live to join gma fulltime he also hosts the current incarnation of the pyramid game show for abc strahan was inducted into the pro football hall of fame in 2014 and does charity work that benefits youth and community development among other causes	former American football player, current NFL analyst and TV-host	former american football player current nfl analyst and tvhost	Astronauts
William Shatner	"<p class=""mw-empty-elt""> </p> <p><b>William Alan Shatner</b> (born March 22, 1931) is a Canadian actor. In a career spanning seven decades, he is best known for his portrayal of Captain James T. Kirk of the USS <i>Enterprise</i> in the <i>Star Trek</i> franchise; from the second pilot in 1965 to his final appearance as Kirk in <i>Star Trek Generations</i> (1994). </p><p>Shatner began his screen acting career in Canadian films and television productions before moving into guest-starring roles in various US television shows. He appeared as Captain Kirk in all the episodes of <i>Star Trek: The Original Series</i>, 21 of the 22 episodes of <i>Star Trek: The Animated Series</i>, and the first seven <i>Star Trek</i> movies. He has written a series of books chronicling his experiences playing Captain Kirk, being a part of <i>Star Trek</i>, and life after <i>Star Trek</i>. He has also co-written several novels set in the <i>Star Trek</i> universe and a series of science fiction novels called <i>TekWar</i> that were adapted for television. Outside <i>Star Trek,</i> Shatner played the eponymous veteran police sergeant in <i>T. J. Hooker</i> (1982–1986) and hosted the reality-based television series <i>Rescue 911</i> (1989–1996), which won a People's Choice Award for Favorite New TV Dramatic Series. His appearances as a guest star in two episodes of the television detective series <i>Columbo</i>, almost two decades apart, were among his many such contributions to television shows from the 1970s to the 2010s. </p><p>Shatner's television career after his last appearance as James Kirk embraced comedy, drama and reality shows. In seasons 4 and 5 of the NBC series <i>3rd Rock from the Sun</i>, he played the alien ""Big Giant Head"" to which the main characters reported. From 2004 until 2008, he starred as attorney Denny Crane in the final season of the legal show <i>The Practice</i> and in its spinoff <i>Boston Legal</i>, a role that earned him two Emmy Awards, one for his contribution to each series. In 2016, 2017 and 2018, he starred in both seasons of NBC's <i>Better Late Than Never</i>, a comical travel series in which a band of elderly celebrities toured east Asia and Europe.</p><p>Aside from acting, Shatner has had a career as a recording artist, beginning in 1968 with his album <i>The Transformed Man</i>. His cover versions of songs are dramatic recitations of their lyrics rather than musical performances: the most notable of them are his versions of ""Lucy in the Sky with Diamonds"" and ""Mr. Tambourine Man"". The <i>sprechstimme</i> rendition of Elton John's ""Rocket Man"" that he essayed when he hosted the 5th Saturn Awards in 1978 has often been parodied by comedians. His most successful album was his third, <i>Seeking Major Tom</i> (2011), which includes covers of ""Learning to Fly"", ""Space Oddity"" and ""Bohemian Rhapsody"".</p><p>In 2021, Shatner flew into space aboard a Blue Origin sub-orbital capsule. At the age of 90, he became the oldest person to fly into space and one of the first 600 to do so. Minutes after the flight, he described experiencing the overview effect.</p>"	william alan shatner born march 22 1931 is a canadian actor in a career spanning seven decades he is best known for his portrayal of captain james t kirk of the uss enterprise in the star trek franchise from the second pilot in 1965 to his final appearance as kirk in star trek generations 1994 shatner began his screen acting career in canadian films and television productions before moving into gueststarring roles in various us television shows he appeared as captain kirk in all the episodes of star trek the original series 21 of the 22 episodes of star trek the animated series and the first seven star trek movies he has written a series of books chronicling his experiences playing captain kirk being a part of star trek and life after star trek he has also cowritten several novels set in the star trek universe and a series of science fiction novels called tekwar that were adapted for television outside star trek shatner played the eponymous veteran police sergeant in t j hooker 1982–1986 and hosted the realitybased television series rescue 911 1989–1996 which won a peoples choice award for favorite new tv dramatic series his appearances as a guest star in two episodes of the television detective series columbo almost two decades apart were among his many such contributions to television shows from the 1970s to the 2010s shatners television career after his last appearance as james kirk embraced comedy drama and reality shows in seasons 4 and 5 of the nbc series 3rd rock from the sun he played the alien big giant head to which the main characters reported from 2004 until 2008 he starred as attorney denny crane in the final season of the legal show the practice and in its spinoff boston legal a role that earned him two emmy awards one for his contribution to each series in 2016 2017 and 2018 he starred in both seasons of nbcs better late than never a comical travel series in which a band of elderly celebrities toured east asia and europeaside from acting shatner has had a career as a recording artist beginning in 1968 with his album the transformed man his cover versions of songs are dramatic recitations of their lyrics rather than musical performances the most notable of them are his versions of lucy in the sky with diamonds and mr tambourine man the sprechstimme rendition of elton johns rocket man that he essayed when he hosted the 5th saturn awards in 1978 has often been parodied by comedians his most successful album was his third seeking major tom 2011 which includes covers of learning to fly space oddity and bohemian rhapsodyin 2021 shatner flew into space aboard a blue origin suborbital capsule at the age of 90 he became the oldest person to fly into space and one of the first 600 to do so minutes after the flight he described experiencing the overview effect	Canadian actor, musician, recording artist, author and film director	canadian actor musician recording artist author and film director	Astronauts
Beth Moses	<p><b>Beth Moses</b> is Chief Astronaut Instructor and Interiors Program Manager for Virgin Galactic's SpaceShipTwo program, and is a Commercial Astronaut, as classified by the Federal Aviation Administration. She was the first woman to make a spaceflight on a commercially launched vehicle, the VSS <i>Unity</i> VF-01 flight of 22 February 2019. She was also part of the six-member crew that flew in the first fully-crewed test flight to space on July 11, 2021, aboard VSS Unity. </p>	beth moses is chief astronaut instructor and interiors program manager for virgin galactics spaceshiptwo program and is a commercial astronaut as classified by the federal aviation administration she was the first woman to make a spaceflight on a commercially launched vehicle the vss unity vf01 flight of 22 february 2019 she was also part of the sixmember crew that flew in the first fullycrewed test flight to space on july 11 2021 aboard vss unity	American commercial astronaut	american commercial astronaut	Astronauts
Mark P. Stucky	"<p class=""mw-empty-elt""> </p> <p><b>Mark P. ""Forger"" Stucky</b> (born 9 November 1958) is an American test pilot and commercial astronaut. In these roles, he was an employee of Virgin Galactic, a private spaceflight company which is developing sub-orbital space tourism flights. </p><p>On 13 December 2018, Stucky and co-pilot Frederick Sturckow flew VSS <i>Unity</i> VP-03, a Virgin Galactic test flight which reached an apogee of 82.7 km (51.4 mi). This surpassed the United States convention for the boundary of outer space, (50 mi (80.47 km)), but fell short of the Kármán line (100 km (62.14 mi)), the internationally recognized boundary. The flight was notable as an uncommon example of a high-altitude flight with an apogee falling between the two altitudes; other examples include eleven flights of the North American X-15 and Soyuz MS-10, an aborted spaceflight which had occurred weeks earlier. </p><p>After being fired from Virgin Galactic in 2021, Stucky was hired by Blue Origin to be part of that company's <i>Advanced Development Team</i> in October of that year. </p><p>Stucky is an accomplished aviator with experience in military, commercial, and experimental flight. </p> "	mark p forger stucky born 9 november 1958 is an american test pilot and commercial astronaut in these roles he was an employee of virgin galactic a private spaceflight company which is developing suborbital space tourism flights on 13 december 2018 stucky and copilot frederick sturckow flew vss unity vp03 a virgin galactic test flight which reached an apogee of 827 km 514 mi this surpassed the united states convention for the boundary of outer space 50 mi 8047 km but fell short of the kármán line 100 km 6214 mi the internationally recognized boundary the flight was notable as an uncommon example of a highaltitude flight with an apogee falling between the two altitudes other examples include eleven flights of the north american x15 and soyuz ms10 an aborted spaceflight which had occurred weeks earlier after being fired from virgin galactic in 2021 stucky was hired by blue origin to be part of that companys advanced development team in october of that year stucky is an accomplished aviator with experience in military commercial and experimental flight	Test pilot and astronaut	test pilot and astronaut	Astronauts
Jared Isaacman	"<p class=""mw-empty-elt""> </p> <p><b>Jared Isaacman</b> (born February 11, 1983) is an American billionaire businessman, pilot, and commercial astronaut. He is the founder of Draken International, a private air force provider and Shift4 Payments, a payment processor. As of September 2021, his estimated net worth was US$2.4 billion.</p><p>Isaacman was the commander of the SpaceX Crew Dragon flight Inspiration4, launched from Kennedy Space Center, Florida on September 16, 2021 (UTC) and returned to Earth, from orbiting 585 kilometers above the earth; he commanded a splashdown return, off the Florida coast, in the Atlantic Ocean on September 18, 2021 at 7:06 pm (EST). The mission was part of a fundraiser for St. Jude Children's Research Hospital, to which Isaacman pledged to donate $100 million.</p><p>Isaacman will command the Polaris Dawn mission, the first private spaceflight in a series of missions named the Polaris Program. </p>"	jared isaacman born february 11 1983 is an american billionaire businessman pilot and commercial astronaut he is the founder of draken international a private air force provider and shift4 payments a payment processor as of september 2021 his estimated net worth was us24 billionisaacman was the commander of the spacex crew dragon flight inspiration4 launched from kennedy space center florida on september 16 2021 utc and returned to earth from orbiting 585 kilometers above the earth he commanded a splashdown return off the florida coast in the atlantic ocean on september 18 2021 at 706 pm est the mission was part of a fundraiser for st jude childrens research hospital to which isaacman pledged to donate 100 millionisaacman will command the polaris dawn mission the first private spaceflight in a series of missions named the polaris program	American businessman, pilot, and private astronaut	american businessman pilot and private astronaut	Astronauts
Michael Masucci	<p><b>Michael Masucci</b> is a pilot for Virgin Galactic and a commercial astronaut. He is a former U.S. Air Force lieutenant colonel and U2 test pilot. Masucci first flew to space in February 2019, during the VSS Unity VF-01 mission, and again in July 2021, onboard Virgin Galactic Unity 22. He is scheduled to fly to space again onboard Unity 23, sometime in 2022. </p>	michael masucci is a pilot for virgin galactic and a commercial astronaut he is a former us air force lieutenant colonel and u2 test pilot masucci first flew to space in february 2019 during the vss unity vf01 mission and again in july 2021 onboard virgin galactic unity 22 he is scheduled to fly to space again onboard unity 23 sometime in 2022	pilot	pilot	Astronauts
Bertalan Farkas	<p><b>Bertalan Farkas</b> (born August 2, 1949) is the first Hungarian cosmonaut, space explorer and fighter pilot. Hungary became the seventh nation to be represented in space by him. Farkas is also the first Esperantist cosmonaut. He is currently the president of Airlines Service and Trade.</p><p>Following his mission, Hungarian-American Károly Simonyi (Charles Simonyi) was the second Hungarian astronaut – the only person in the entire world who has been twice in space as a space tourist and who had paid for himself for the spaceflights. The next Hungarian astronaut will travel to the International Space Station by 2025.</p>	bertalan farkas born august 2 1949 is the first hungarian cosmonaut space explorer and fighter pilot hungary became the seventh nation to be represented in space by him farkas is also the first esperantist cosmonaut he is currently the president of airlines service and tradefollowing his mission hungarianamerican károly simonyi charles simonyi was the second hungarian astronaut – the only person in the entire world who has been twice in space as a space tourist and who had paid for himself for the spaceflights the next hungarian astronaut will travel to the international space station by 2025	Hungarian cosmonaut	hungarian cosmonaut	Astronauts
Charles Simonyi	"<p><b>Charles Simonyi</b> (<span></span>; Hungarian: <i lang=""hu"">Simonyi Károly</i>, <small>pronounced </small><span title=""Representation in the International Phonetic Alphabet (IPA)"">[ˈʃimoɲi ˈkaːroj]</span>; born September 10, 1948) is a Hungarian-American software architect. He started and led Microsoft's applications group, where he built the first versions of Microsoft Office.</p><p>He co-founded and led Intentional Software (acquired by Microsoft in 2017), with the aim of developing and marketing his concept of intentional programming.</p><p>In April 2007, aboard Soyuz TMA-10, he became the fifth space tourist and the second Hungarian in space. In March 2009, aboard Soyuz TMA-14, he made a second trip to the International Space Station. </p><p>Forbes magazine's 2021 list of The World's Billionaires estimated his net worth at US$5 billion.</p>"	charles simonyi hungarian simonyi károly pronounced ˈʃimoɲi ˈkaːroj born september 10 1948 is a hungarianamerican software architect he started and led microsofts applications group where he built the first versions of microsoft officehe cofounded and led intentional software acquired by microsoft in 2017 with the aim of developing and marketing his concept of intentional programmingin april 2007 aboard soyuz tma10 he became the fifth space tourist and the second hungarian in space in march 2009 aboard soyuz tma14 he made a second trip to the international space station forbes magazines 2021 list of the worlds billionaires estimated his net worth at us5 billion	Hungarian-American computer software executive	hungarianamerican computer software executive	Astronauts
Béla Magyari	<p><b>Béla Magyari</b> (8 August 1949 – 23 April 2018) was a colonel in the Hungarian Air Force. He graduated from the György Kilián Air Force Academy in 1969. </p><p>Born in Kiskunfélegyháza, he was selected as the back-up for Bertalan Farkas, the first Hungarian cosmonaut who flew to space on Soyuz 36, but he himself never flew. He graduated from the Budapest Technical University in 1986. He spent his active career as an aeronautical engineer and pilot. He was also president of the Hungarian Astronautical Society and worked for the Hungarian Space Office.</p>	béla magyari 8 august 1949 – 23 april 2018 was a colonel in the hungarian air force he graduated from the györgy kilián air force academy in 1969 born in kiskunfélegyháza he was selected as the backup for bertalan farkas the first hungarian cosmonaut who flew to space on soyuz 36 but he himself never flew he graduated from the budapest technical university in 1986 he spent his active career as an aeronautical engineer and pilot he was also president of the hungarian astronautical society and worked for the hungarian space office	Hungarian astronaut	hungarian astronaut	Astronauts
Salizhan Sharipov	"<p><b>Salizhan Shakirovich Sharipov</b> (Russian: <span lang=""ru"">Салижан Шакирович Шарипов</span>) (born 24 August 1964) is a Kyrgyzstani cosmonaut of Tajik and Uzbek descent. Sharipov is a co-author and investigator for the Advanced Diagnostic Ultrasound in Microgravity project. In Russia and USA scientists are given hero awards. He has been to space twice (launched from the U.S. as an astronaut in 1998 and from Russia as a cosmonaut in 2004) and has conducted two space walks. Sharipov retired on 18 July 2008.</p>"	salizhan shakirovich sharipov russian салижан шакирович шарипов born 24 august 1964 is a kyrgyzstani cosmonaut of tajik and uzbek descent sharipov is a coauthor and investigator for the advanced diagnostic ultrasound in microgravity project in russia and usa scientists are given hero awards he has been to space twice launched from the us as an astronaut in 1998 and from russia as a cosmonaut in 2004 and has conducted two space walks sharipov retired on 18 july 2008	Russian cosmonaut	russian cosmonaut	Astronauts
Fyodor Yurchikhin	"<p class=""mw-empty-elt""> </p> <p><b>Fyodor Nikolayevich Yurchikhin</b> (Russian: <span lang=""ru"">Фёдор Николаевич Юрчихин, Greek: Θεόδωρος Γιουρτσίχιν του Νικόλαου; born 3 January 1959</span>) is a Russian cosmonaut of Greek descent, engineer and RSC Energia test-pilot who has flown on five spaceflights. His first spaceflight was a 10-day Space Shuttle mission STS-112. His second was a long-duration stay aboard the International Space Station (ISS) as a Flight Engineer for Expedition 15; for this mission he was launched in the Soyuz TMA-10 spacecraft. He has undertaken two further long-duration stays aboard the ISS, as a crew member of Expedition 24 / 25. For this mission he was launched with the spacecraft Soyuz TMA-19, and he landed in November 2010, also with the Soyuz TMA-19 spacecraft. He served as Soyuz commander for his fourth mission aboard Soyuz TMA-09M, as flight engineer for Expedition 36 and ISS Commander for Expedition 37. In April 2017, Yurchikhin launched on Soyuz MS-04 for the fifth spaceflight of his career, a six-month mission to the ISS as part of Expedition 51 and 52, for which he was the commander. </p>"	fyodor nikolayevich yurchikhin russian фёдор николаевич юрчихин greek θεόδωρος γιουρτσίχιν του νικόλαου born 3 january 1959 is a russian cosmonaut of greek descent engineer and rsc energia testpilot who has flown on five spaceflights his first spaceflight was a 10day space shuttle mission sts112 his second was a longduration stay aboard the international space station iss as a flight engineer for expedition 15 for this mission he was launched in the soyuz tma10 spacecraft he has undertaken two further longduration stays aboard the iss as a crew member of expedition 24 25 for this mission he was launched with the spacecraft soyuz tma19 and he landed in november 2010 also with the soyuz tma19 spacecraft he served as soyuz commander for his fourth mission aboard soyuz tma09m as flight engineer for expedition 36 and iss commander for expedition 37 in april 2017 yurchikhin launched on soyuz ms04 for the fifth spaceflight of his career a sixmonth mission to the iss as part of expedition 51 and 52 for which he was the commander	Russian cosmonaut	russian cosmonaut	Astronauts
