Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Court Line Flight 95	"<p class=""mw-empty-elt""> </p> <p><b>Court Line Aviation Flight 95</b> was an international charter flight from London Luton Airport, Bedfordshire, England, to Munich-Riem Airport, West Germany, operated on 18 April 1974 by Court Line BAC One-Eleven 518 G-AXMJ. During its take-off run, Piper PA-23 Aztec G-AYDE of McAlpine Aviation entered the active runway without permission. Although the pilots of the One-Eleven tried to take avoiding action, a collision between the two aircraft occurred, killing the pilot of the Aztec and injuring his passenger. </p><p>The pilots of the substantially damaged One-Eleven successfully aborted the take-off and the aircraft was evacuated using emergency slides, with no casualties. The Aztec was written off, but the One-Eleven was repaired and returned to service. Four recommendations were made following the accident. </p>"	evacuated his aztec line collision pilot an four returned court substantially by active munichriem to runway avoiding entered gaxmj accident a on wa england occurred two takeoff slide killing 18 permission without operated successfully piper written with service oneeleven 1974 were off germany it during gayde aviation following tried of flight airport emergency action bedfordshire 518 pa23 95 damaged repaired and aborted run from between casualty passenger recommendation bac london take made aircraft although no international luton using april west the mcalpine but charter injuring	1974 runway incursion	incursion runway 1974	Airports
Gatwick Express	"<p class=""mw-empty-elt""> </p> <p><b>Gatwick Express</b> is a high-frequency rail passenger service between London Victoria, Gatwick Airport, and Brighton in South East England. It is the brand name used by the Govia Thameslink Railway train operating company on the Gatwick Express route of the Thameslink, Southern and Great Northern franchise. </p><p>The service began in May 1984 with air-conditioned InterCity carriages operated by British Rail. When it was privatised in April 1996, National Express took over the franchise. In June 2008, Gatwick Express ceased to exist as a separate franchise, when it was merged into the Southern train operating company, although it continues to be maintained as a separate identity. In July 2015, Southern including the Gatwick Express service was merged into Govia Thameslink Railway. </p><p>The service was suspended on 30 March 2020, in part due to the COVID-19 pandemic. It resumed on 13 December 2021, but was suspended again shortly after.</p>"	suspended 1984 over used privatised east after route 13 rail 2008 by railway in express to be may airconditioned pandemic exist march a on wa england 2020 2021 gatwick resumed is when operated brighton govia great identity july again name december with service intercity part south june it maintained of ceased due airport brand continues into merged including 30 took and between passenger covid19 national company london separate highfrequency although april shortly thameslink british 2015 franchise the operating northern 1996 began victoria train southern carriage but	high-frequency rail passenger service between London Victoria and Gatwick Airport	service london rail gatwick and highfrequency victoria between airport passenger	Airports
Tyne and Wear Metro	"<p class=""mw-empty-elt""> </p> <p>The <b>Tyne and Wear Metro</b> is an overground and underground light rail rapid transit system serving the city of Newcastle upon Tyne, the metropolitan boroughs of Gateshead, North Tyneside, South Tyneside and the City of Sunderland (together forming Tyne and Wear). The network opened in stages from August 1980 and now serves a total of 60 stations, with two lines covering 48.2 miles (77.6 km) of track. The Metro can be accessed from a mixture of under ground and above ground stations. It has been described as the ""first modern light rail system in the United Kingdom"". The system is currently owned and operated by the Tyne and Wear Passenger Transport Executive (branded as Nexus), thus is fully under public ownership and operation. </p><p>In 2018–19, an estimated 36.4<span> </span>million passenger journeys were made on the Metro, making it the third-most used light rail network in the United Kingdom after London's Docklands Light Railway (121.8<span> </span>million passenger journeys) and Manchester Metrolink (43.7<span> </span>million passenger journeys).</p><p>The initial Tyne and Wear Metro network opened between August 1980 and March 1984, mostly using converted former railway lines linked with new tunnel infrastructure. Further extensions to the original network were opened in November 1991 (from Bank Foot to Airport) and March 2002 (from Pelaw to Sunderland and South Hylton).</p>"	forming described light 1984 used line stage pelaw north initial operation first system an 60 after rapid united wear rail track by making mixture railway in be to tyneside gateshead opened former march 776 a on public upon branded estimated ground transport foot total two above further manchester converted metropolitan journeysthe extension 364 new executive serf km is operated mile sunderland million journey been borough with 1980 linked kingdom can were south 2018–19 it thus tyne of underground bank owned airport tunnel covering thirdmost and under docklands accessed from august between passenger modern november 2002 ownership now station metrolink 1218 ha metro serving london made fully together 482 city using infrastructure original transit mostly the nexus newcastle overground 437 network 1991 hylton currently	rapid-transit rail network in north-east England	network rail northeast rapidtransit england in	Airports
Rugby–Birmingham–Stafford line	"<p class=""mw-empty-elt""> </p> <p>The <b>Rugby–Birmingham–Stafford line</b> (also known as the <b>Birmingham loop</b>) is a railway line in the West Midlands of England. It is a loop off the West Coast Main Line (WCML) between Rugby and Stafford, via the West Midlands cities of Coventry, Birmingham and Wolverhampton. The direct route between Rugby and Stafford is the Trent Valley Line. </p>"	main a direct midland off england trent it line coventry of stafford rugby also via route city rugby–birmingham–stafford birmingham is west railway wcml in loop wolverhampton valley the known and between coast	UK railway line	railway uk line	Airports
Glasgow Airport Rail Link	"<p class=""mw-empty-elt""> </p> <p>The <b>Glasgow Airport Rail Link</b> (GARL) is a proposed link between Glasgow City Centre and Glasgow Airport. The original plans for an airport rail link were proposed during the 2000s to directly link Glasgow Central station with Glasgow Airport in Scotland. The link was intended for completion by 2013 and would have had a service of four trains per hour via Paisley Gilmour Street railway station.</p><p>On 17 September 2009 the rail link was cancelled as part of public spending cuts.</p><p>In 2014, proposals were in place to resurrect the project dependent on the outcome of the Scottish independence referendum.</p><p>In October 2016, plans were resurrected to build a railway link to Glasgow Airport. The journey time of 16.5 minutes has also been proposed. Under current plans the line would be opened in 2025.</p><p>In 2019, it was proposed to deliver the project as part of a wider Glasgow Metro network, using a new light rail line via Govan.</p>"	scottish spending october light 2019 line 2013 referendumin an four directly 2016 rail paisley by railway in to be opened per have a time on public wa stationon 2009 deliver centre cutsin new wider gilmour is 2014 build 2000s minute journey been with proposal service project were part 2025in it during 165 september of link intended via plan independence airport had completion outcome for resurrect and under glasgow scotland between hour dependent would place station ha govan metro central current resurrected 17 garl also city using original the network cancelled proposed train street	cancelled rail link	cancelled link rail	Airports
Piccadilly line	"<p class=""mw-empty-elt""> </p> <p>The <b>Piccadilly line</b> is a deep-level London Underground line running from the north to the west of London. It has two branches, which split at Acton Town, and serves 53 stations. The line serves Heathrow Airport, and some of its stations are near tourist attractions such as Piccadilly Circus and Buckingham Palace. The District and Metropolitan lines share some sections of tracks with the Piccadilly line. Printed in dark blue (officially ""Corporate Blue"", Pantone 072) on the Tube map, it is the fourth-busiest line on the Underground network with over 210 million passenger journeys in 2011/12. </p><p>The first section, between Finsbury Park and Hammersmith, was opened in 1906 as the Great Northern, Piccadilly and Brompton Railway (GNP&amp;BR). The station tunnels and buildings were designed by Leslie Green, featuring ox-blood terracotta facades with semi-circular windows on the first floor. When Underground Electric Railways of London (UERL) took over the line, it was renamed the Piccadilly line. Subsequent extensions were made to Cockfosters, Hounslow West and Uxbridge in the early 1930s, when many existing stations on the Uxbridge and Hounslow branches were rebuilt to designs by Charles Holden, part of the Adams, Holden &amp; Pearson architectural practice. These were generally rectangular, with brick bases and large tiled windows, topped with a concrete slab roof. The western extensions took over existing District line services, which were fully withdrawn in 1964. </p><p>Stations in central London were rebuilt to cater for a higher volume of passenger traffic. To prepare for World War II, some stations were equipped with shelters and basic amenities; others were equipped with blast walls. Construction of the Victoria line, the first section of which was opened in 1968, helped to relieve congestion on the Piccadilly line, but some sections of the Piccadilly had to be rerouted for cross-platform interchange with the new line. Several plans were made to extend the Piccadilly line to serve Heathrow Airport. The earliest approval was given in 1967, and the Heathrow extension opened in stages between 1975 and 1977. This extension served only Terminals 2 and 3 and the former Terminal 1. The line was extended again twice, to Terminal 4 via a loop in 1986, and to Terminal 5 directly from the main terminal station in 2008. </p><p>This line has two depots, at Northfields and Cockfosters, with a group of sidings at several locations. Crossovers are at a number of locations, with some allowing for trains to switch onto different lines. The Piccadilly line once had its electricity generated from Lots Road Power Station. It was taken out of use in 2003; the line is now powered from the National Grid network. 1973 Stock is used on the tube line, where 78 of these are needed to have a 24 trains per hour (tph) (a train every <link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1020198016""><span role=""math"">2<span>+</span><span>1</span>⁄<span>2</span></span> minutes) service during peak hours. These are due to be replaced by the New Tube for London (NTfL) trains in the 2020s. </p>"	war finsbury building relieve gnpampbr amenity over practice higher this line stage used blue onto north brompton first pantone generally served 4 ntfl directly district town traffic rerouted adam only window 2003 renamed 2008 track 1930s acton railway park by 1 tph near in section to be 21⁄2 1968 charles power opened former 201112 interchange per large 1986 have concrete these construction a terracotta which on wa semicircular dark two hammersmith withdrawn heathrow where metropolitan siding switch 210 extension pearson generated topped brick new use volume group taken serf is when piccadilly cockfosters terminal green loop branch great million designed such running uxbridge wall minute 1967 journey electric grid again electricity many base existing depot with architectural blast given extended service 1906 main were part map subsequent number it corporate lot during attraction 1964 allowing some uerl of deeplevel twice powered underground tiled prepare plan via airport due floor palace rebuilt crossplatform tunnel approval basic needed had serve split extend location circus roof for congestion took early and slab peak others from ii between hounslow 1977 hour passenger tube tourist design several once station now national oxblood ha 1975 53 amp officially world 5 london out made helped buckingham fully equipped 2 central 1973 2020s 24 3 earliest crossover every shelter are holden featuring west 78 rectangular printed fourthbusiest western the leslie road replaced different 072 network northfields cater northern victoria train at but facade stock share	London Underground line	london line underground	Airports
Styal Line	"<p class=""mw-empty-elt""> </p> <p>The <b>Styal line</b> is a suburban commuter railway line in the United Kingdom which runs through south Manchester and north-east Cheshire. It commences at Slade Lane Junction, about 2 kilometres (1.2 mi) south of Manchester Piccadilly, and runs 19 kilometres (12 mi) south to Wilmslow. </p><p>It was opened in 1909 by the London and North Western Railway company and takes its name from the Cheshire station of Styal, which is the last stop before the junction at Wilmslow. A branch line to Manchester Airport was built in 1993, accessed via a triangular junction between Heald Green and Styal. Consequently, it is also referred to as the <b>airport line</b>.</p><p>Patronage into Manchester on the eight commuter stations has risen sharply since the 1990s and the opening of the Manchester Airport railway station in 1993 fuelled an increase in express services from around Northern England and beyond. As a result, it is now one of the most congested lines on the National Rail network with services frequently susceptible to delays and cancellations.</p><p>Since May 2018 the line has operated on a skip-stop basis with each station having a dedicated 'express' service to Liverpool, Preston, Blackpool North and Windermere. This change was the result of congestion on this line and implemented to maximise the number of train slots (paths) between Manchester Piccadilly and Manchester Airport. However due to poor performance and falling patronage, it is proposed that the line will revert back to half hourly service calling at all stations, with one service terminating at Manchester Piccadilly and the other continuing on to Liverpool Lime Street.</p>"	dedicated beyond triangular sharply 1909 skipstop this junction line maximise windermere around north an fuelled lane delay united rail path about railway by in express to all may however cancellationssince opened 12 before having a one which on most wa england mi 2018 lime hourly blackpool suburban change manchester street heald linepatronage consequently slade is each piccadilly operated liverpool green 19 branch that eight revert kilometre poor name 1990s styal with commuter service kingdom northeast performance calling since south number it cheshire result falling increase of via due will airport other susceptible into risen opening congested congestion and stop run accessed from basis through between wilmslow station last built now national half ha preston back company london take 2 continuing also terminating commences slot frequently western 1993 the network proposed northern implemented train at referred patronage	railway line in  the UK	railway in uk line the	Airports
Edinburgh Trams	"<p class=""mw-empty-elt""> </p> <p><b>Edinburgh Trams</b> is a tramway in Edinburgh, Scotland, operated by Edinburgh Trams Ltd. As of 2022 it is a 14-kilometre (8.7 mi) line between York Place in the New Town and Edinburgh Airport, with 15 stops.</p><p>Construction began in June 2008, and after encountering delays it opened on 31 May 2014. The scheme had an initial estimated cost of £375 million in 2003, but by May 2008, when contracts were signed, the cost had risen to £521 million. The final cost after delays was £776 million. </p><p>After running for two years, the scheme had achieved pre-tax profitability (excluding maintenance and infrastructure costs) and exceeded the original ridership targets. It has run at an operating loss since 2018 (e.g. -£9.4 million in 2018). On 14 March 2019, Edinburgh Council voted to approve the extension of the existing line from York Place to Newhaven. The extended line is due to be operational by early 2023.</p>"	york 2023 2019 approve line initial an target edinburgh town after delay £375 2003 2008 by newhaven in to be may maintenance opened march a on wa mi 2018 estimated tramway two tram voted ltd extension excluding new final stopsconstruction is 14kilometre 2022 2014 operated when million running 14 eg existing pretax with extended £94 achieved were since june it operational of ridership due airport loss 15 £776 risen had for 87 early and council cost run from scotland between place exceeded ha scheme contract signed infrastructure original encountering £521 the operating year 31 began at but profitability	tramway in Edinburgh, Scotland, UK	in edinburgh scotland uk tramway	Airports
Edinburgh Airport Rail Link	"<p class=""mw-empty-elt""> </p> <p><span></span> The <b>Edinburgh Airport Rail Link</b> (EARL) was a proposed rail link to Edinburgh Airport, Scotland. The project was passed by the Scottish Parliament in 2007, but following a change of government, was cancelled in September 2007 on the grounds of cost.</p><p>The link was planned to open in 2011 and would have included an underground airport station located beneath the terminal building. A tunnel was to have been constructed to take trains underneath the main runway. The Edinburgh Airport Rail Link would have allowed direct rail travel to and from the airport from Scotland's main towns and cities. New rolling stock was to be ordered for the service to compensate for any extra journey time created by the additional stop.</p>"	scottish main allowed service a project direct any on station building time wa ground earl 2011 september following change constructed take compensate an of link edinburgh included town government underground new airport open city rolling underneath ordered rail extra tunnel by terminal in to be costthe runway the 2007 for journey travel cancelled and proposed been beneath have parliament additional stop from train scotland but planned passed stock would created located	proposed rail link to Edinburgh Airport, Scotland	rail proposed link edinburgh scotland to airport	Airports
Croydon Airport	"<p class=""mw-empty-elt""> </p> <p><b>Croydon Airport</b> (former ICAO code: EGCR) was the UK's only international airport during the interwar period. Located in Croydon, Surrey, England, it opened in 1920, built in a Neoclassical style, and was developed as Britain's main airport, handling more cargo, mail, and passengers than any other UK airport at the time. Innovations at the site included the world's first air traffic control and the first airport terminal. During World War II the airport was named RAF Croydon as its role changed to that of a fighter airfield during the Battle of Britain; and in 1943 RAF Transport Command was founded at the site, which used the airport to transport thousands of troops into and out of Europe.</p><p>After the Second World War, its role returned to civil aviation, but the role of London's primary international airport passed to London Heathrow Airport. Croydon Airport closed in 1959. It had been known under eight different names while it was active.</p><p>In 1978, the terminal building and Gate Lodge were granted protection as Grade II listed buildings. In May 2017, Historic England raised the status of the terminal building to Grade II*. Owing to disrepair, the Gate Lodge is now classified as Heritage at Risk by Historic England.</p> "	war mail building croydon cargo uk used troop historic first surrey listed grade changed returned traffic 2017 only by in while to may handling role disrepair former opened known located risk any a time which wa england air transport egcr lodge heathrow neoclassical included granted 1920 thousand fighter is classified terminal that icao eight civil been name site 1943 main airfield innovation command were it 1978 during code aviation of founded developed airport other primary europeafter control into protection activein had raised closed style raf and under owing ii heritage passed passenger second built 1959 now interwar out world london period international named status more than the different gate britain battle at but	airport in South London, UK	london south in uk airport	Airports
Beacon Field Airport	<p><b>Beacon Field Airport</b> was an airport located in the Groveton area of Fairfax County, Virginia, United States, from the 1920s until its closure in 1959. One of the nation's earliest private airports, and particularly in the Washington DC Metropolitan Area, it received its name because it was the location of an airway beacon used to guide early airmail pilots. It later became a popular training site, complete with FBO, for pilots learning to fly after World War II on the G.I. Bill. </p><p>The site, originally an antebellum estate called City View, is now the location of a shopping center. </p>	private center groveton guide a beacon one 1959 fly war wa on view now it received because used became closure until world shopping pilot fairfax an metropolitan originally of dc learning nation earliest after complete state airport county united site city later particularly is gi in field area to training the location airway for popular washington antebellum early called and airmail ii virginia from name with fbo bill 1920s located estate	airport in Virginia, United States of America	america of virginia in state airport united	Airports
Saint-Inglevert Airfield	"<p class=""mw-empty-elt""> </p> <p><b>Saint-Inglevert Airfield</b> is a general aviation airfield at Saint-Inglevert, Pas-de-Calais,<sup class=""reference plainlinks nourlexpansion"" id=""ref_a"">[Note 1]</sup> France. In the First World War an airfield was established near Saint-Inglevert by the Royal Flying Corps, later passing to the Royal Air Force on formation and thus becoming <b>RAF Saint Inglevert</b>.</p><p>In 1920, a civil airfield was established on a different site which was a designated customs airfield. During the Second World War, Saint-Inglevert was occupied by the Royal Air Force and the <i>Armée de l'Air</i>. The airfield was captured by the Germans towards the end of the Battle of France and occupied by the Luftwaffe. It was abandoned in 1941, but in 1943 field artillery units were based around the airfield as part of the Atlantic Wall. Although civil flying returned to Saint-Inglevert post-war, the airfield was abandoned in 1957 and returned to agriculture. It was reopened by <i>l'Aéroclub du Boulonnais</i> (English: <span lang=""en"">Boulogne Aero Club</span>) in 1986. </p> <!-- NewPP limit report Parsed by mw1381 Cached time: 20220514171140 Cache expiry: 1814400 Reduced expiry: false Complications: [vary‐revision‐sha1] CPU time usage: 0.364 seconds Real time usage: 0.469 seconds Preprocessor visited node count: 1590/1000000 Post‐expand include size: 29635/2097152 bytes Template argument size: 6044/2097152 bytes Highest expansion depth: 15/100 Expensive parser function count: 3/500 Unstrip recursion depth: 0/20 Unstrip post‐expand size: 2313/5000000 bytes Lua time usage: 0.221/10.000 seconds Lua memory usage: 14397648/52428800 bytes Number of Wikibase entities loaded: 1/400 --> <!-- Transclusion expansion time report (%,ms,calls,template) 100.00% 429.028 1 -total 44.12% 189.295 1 Template:Infobox_airport 37.09% 159.142 1 Template:Infobox 29.82% 127.921 1 Template:Lang-en 18.61% 79.843 1 Template:Short_description 10.88% 46.676 1 Template:Pagetype 8.99% 38.582 1 Template:Coord 6.92% 29.669 1 Template:Location_map 4.83% 20.715 1 Template:Use_dmy_dates 3.96% 16.977 4 Template:Main_other -->"	war lair occupied atlantic around first an returned saintinglevert unit club inglevertin by 1 in near abandoned general to field passing 1986 a custom on saint which wa pasdecalaisnote air luftwaffe formation later 1920 is 1941 france royal english wall civil becoming 1943 site established german airfield towards were part it during aviation 1957 thus flying of captured laéroclub boulogne based agriculture end raf and force second postwar world corp although designated artillery du the armée aero different reopened de battle at but boulonnais	airport in France	in airport france	Airports
Minneapolis–Saint Paul International Airport	"<p class=""mw-empty-elt""> </p> <p><b>Minneapolis–Saint Paul International Airport</b> (IATA: <b>MSP</b>, ICAO: <b>KMSP</b>, FAA LID: <b>MSP</b>), also less commonly known as <b>Wold-Chamberlain Field</b>, is a joint civil-military public use international airport. It is located in Fort Snelling Unorganized Territory, Minnesota, United States. Centrally located within 10 miles (16 kilometers) of both downtown Minneapolis and downtown Saint Paul, MSP is the busiest airport in the Upper Midwest.</p><p>A joint civil-military airport, MSP is home to the Minneapolis–Saint Paul International Airport Joint Air Reserve Station, supporting both Air Force Reserve Command and Air National Guard flight operations. The airport is located in Fort Snelling Unorganized Territory. Small sections of the airport border the city limits of Minneapolis and Richfield. However, under Minnesota state law, the parcel of land covered by the airport is not part of any city or school district. MSP covers 2,930 acres (1,186 ha) of land. The airport generates an estimated $15.9 billion a year for the Twin Cities' economy and supports 87,000 workers.</p><p>MSP is a major hub for Delta Air Lines. It also serves as the home airport for Minnesota-based Sun Country Airlines. Delta Air Lines and its regional affiliates account for about 70% of the airport's passenger traffic. The airport is operated by the Metropolitan Airports Commission, which also handles the operation of six smaller airports in the region. </p>"	hub midwesta 87000 or line guard operation an minnesota district commission traffic le united home faa border minneapolis about by in lid field to section however 159 known supporting civilmilitary joint located limit any a major which public kilometer saint estimated air 1186 16 metropolitan six both 10 use state reserve law parcel serf is regional region operated mile icao delta iata downtown commonly command part msp it not generates minnesotabased school of affiliate covered flight billion airport handle twin territory airline account upper cover for woldchamberlain snelling centrally and under force paul land passenger station within national ha sun fort minneapolis–saint smaller also 70 small kmsp city unorganized support international workersmsp acre the country year economy busiest richfield 2930	international airport serving Minneapolis and St. Paul, Minnesota, United States	serving international and minneapolis st minnesota paul state airport united	Airports
Sydney Airport	"<p class=""mw-empty-elt""> </p> <p><b>Sydney Kingsford Smith Airport</b> (colloquially <b>Mascot Airport</b>, <b>Kingsford Smith Airport</b>, or <b>Sydney Airport</b>; IATA: <b>SYD</b>, ICAO: <b>YSSY</b>; ASX: SYD) is an international airport in Sydney, Australia, located 8 km (5 mi) south of the Sydney central business district, in the suburb of Mascot. The airport is owned by Sydney Airport Holdings. It is the primary airport serving Sydney, and is a primary hub for Qantas, as well as a secondary hub for Virgin Australia and Jetstar, as well as a focus city for Air New Zealand. Situated next to Botany Bay, the airport has three runways. </p><p>Sydney Airport is one of the world's longest continuously operated commercial airports and is the busiest airport in Australia, handling 42.6 million passengers and 348,904 aircraft movements in 2016–17. It was the 38th busiest airport in the world in 2016. Currently 46 domestic and 43 international destinations are served to Sydney directly. </p> <p>In 2018, the airport was rated in the top five worldwide for airports handling 40–50 million passengers annually and was overall voted the 20th best airport in the world at the Skytrax World Airport Awards.</p>"	hub jetstar or kingsford 20th served an australia directly district 46 2016 sydney by in to syd runway handling domestic located a zealand one wa mi 2018 air next voted 348904 new rated km is yssy operated commercial 40–50 skytrax icao situated million iata qantas focus 426 virgin annually south it of 8 suburb airport owned award 2016–17 primary business 38th for and movement mascot asx passenger longest botany ha bay best continuously world 5 serving smith central top holding aircraft destination city are worldwide international 43 three the secondary overall five well busiest colloquially at currently	international airport serving Sydney, Australia	serving international sydney australia airport	Airports
Croydon Airport	"<p class=""mw-empty-elt""> </p> <p><b>Croydon Airport</b> (former ICAO code: EGCR) was the UK's only international airport during the interwar period. Located in Croydon, Surrey, England, it opened in 1920, built in a Neoclassical style, and was developed as Britain's main airport, handling more cargo, mail, and passengers than any other UK airport at the time. Innovations at the site included the world's first air traffic control and the first airport terminal. During World War II the airport was named RAF Croydon as its role changed to that of a fighter airfield during the Battle of Britain; and in 1943 RAF Transport Command was founded at the site, which used the airport to transport thousands of troops into and out of Europe.</p><p>After the Second World War, its role returned to civil aviation, but the role of London's primary international airport passed to London Heathrow Airport. Croydon Airport closed in 1959. It had been known under eight different names while it was active.</p><p>In 1978, the terminal building and Gate Lodge were granted protection as Grade II listed buildings. In May 2017, Historic England raised the status of the terminal building to Grade II*. Owing to disrepair, the Gate Lodge is now classified as Heritage at Risk by Historic England.</p> "	war mail building croydon cargo uk used troop historic first surrey listed grade changed returned traffic 2017 only by in while to may handling role disrepair former opened known located risk any a time which wa england air transport egcr lodge heathrow neoclassical included granted 1920 thousand fighter is classified terminal that icao eight civil been name site 1943 main airfield innovation command were it 1978 during code aviation of founded developed airport other primary europeafter control into protection activein had raised closed style raf and under owing ii heritage passed passenger second built 1959 now interwar out world london period international named status more than the different gate britain battle at but	airport in South London, UK	london south in uk airport	Airports
Burlington International Airport	"<p class=""mw-empty-elt""> </p> <p><b>Burlington International Airport</b> (IATA: <b>BTV</b>, ICAO: <b>KBTV</b>, FAA LID: <b>BTV</b>) is a joint-use civil-military airport serving Burlington, Vermont, the state's largest municipality. It is owned by the city of Burlington and located in nearby South Burlington, three nautical miles (6 km) east of Burlington's central business district. About 15% of the airport's passengers come from Quebec. </p><p>Federal Aviation Administration records show that the airport had 687,436 passenger boardings (enplanements) in calendar year 2019, up from 658,879 enplanements in 2018, an increase of 4.33%. This airport is included in the FAA's National Plan of Integrated Airport Systems for 2021–2025, which categorized it as a <i>primary commercial service</i> airport (more than 10,000 enplanements per year). It is by far the busiest airport in Vermont, and the only one in the state with significant commercial service. </p><p>The airport serves as the base of the 158th Fighter Wing, Vermont Air National Guard and an Army Aviation Support Facility (AASF) of the Vermont Army National Guard and the Vermont State Guard. </p> "	come this 2019 guard east system an significant district only boarding faa aasf burlington about by in lid per nautical 658879 facility civilmilitary far located a one which 2018 btv air up included nearby state jointuse serf km is fighter army commercial mile that icao iata 158th base with 2021–2025 service south record it quebec aviation increase 433 of administration plan airport owned primary 15 business had enplanements for calendar 10000 largest and municipality 6 from passenger national show kbtv serving central integrated support city international three more than the year categorized wing 687436 vermont federal busiest	airport in Burlington, United States of America	america burlington of in state airport united	Airports
Casablanca–Anfa Airport	"<p><b>Casablanca–Anfa Airport</b> (French: <i lang=""fr"">Aéroport de Casablanca–Anfa</i>, Arabic: <span lang=""ar"" dir=""rtl"">مطار الدار البيضاء أنفا</span>) was an airport in Morocco <s>(IATA: <b>CAS</b>, ICAO: <b>GMMC</b>)</s>, located about 6 kilometres (4 mi) southwest of Casablanca. Anfa Airport was one of three airports serving the Casablanca area, the others being the newer and larger Mohammed V International Airport and the Casablanca Tit Mellil Airport. </p><p>Anfa Airport is now closed, and its buildings and runways have been demolished. </p>"	الدار أنفا one larger now building wa mi gmmc it serving 4 البيضاء an of demolished ca casablanca airport morocco being french arabic about international is southwest v in three area casablanca–anfa icao anfa closed runway the iata مطار mohammed been and kilometre have 6 others de mellil tit newer aéroport located	airport in Morocco	in airport morocco	Airports
Auckland Airport	"<p class=""mw-empty-elt""> </p> <p><b>Auckland Airport</b> (IATA: <b>AKL</b>, ICAO: <b>NZAA</b>) is the largest and busiest airport in New Zealand, with over 21 million passengers in the year ended March 2019. The airport is located near Mangere, a residential suburb, and Airport Oaks, a service hub suburb 21 kilometres (13 mi) south of the Auckland city centre. It is both a domestic and international hub for Air New Zealand, and the New Zealand hub of Jetstar Airways. </p><p>The airport is one of New Zealand's most important infrastructure assets, providing thousands of jobs for the region. It handled 71 per cent of New Zealand's international air passenger arrivals and departures in 2000. It is one of only two commercial airports in New Zealand (the other being Christchurch) capable of handling Boeing 747 and Airbus A380 aircraft. </p><p>It has a capacity of about 45 flight movements per hour, using a single runway that is fully Cat IIIb capable (at a reduced rate of movements). In November 2007 work began on a new northern runway, to be built in several stages and to be used mainly by smaller aircraft, freeing up capacity on the main runway. The project was put on hold for at least 12 months in October 2009, however, and deferred for a further few years in August 2010 following consultation with airlines and a review of capacity management options. The timing of the recommencement of construction of the second runway will be demand driven relative to the capacity of the existing runway. The expected completion date for the second runway is now 2025.</p>"	hub jetstar 2010 october nzaa over 2019 used stage relative a380 deferred christchurch only put 13 about by in near to cent be runway however handling 2007 per domestic march 12 demand hold located construction a zealand one on most wa mi air boeing up 2009 two further few providing akl centre both 2000 least new capable thousand being is region commercial that icao million residential 21 iata airway asset kilometre management existing with oak handled service auckland main review project south month it work option mangere following of suburb flight 747 will airport other ended freeing airline timing completion for largest and movement recommencement august arrival capacity hour passenger november several job second built now expected ha reduced 2025 consultation important single fully driven cat smaller aircraft airbus date city 45 international using mainly infrastructure iiib 71 the year departure rate northern began busiest at	international airport serving Auckland, New Zealand	auckland serving zealand international new airport	Airports
Marine Corps Air Station Yuma	<p><b>Marine Corps Air Station Yuma</b> or <b>MCAS Yuma</b> (ICAO: <b>KNYL</b>, FAA LID: <b>NYL</b>) is a United States Marine Corps air station. It is the home of multiple squadrons of AV-8B Harrier IIs and F-35B Lightning IIs of the 3rd Marine Aircraft Wing, Marine Aviation Weapons and Tactics Squadron 1 (MAWTS-1), Marine Operational Test and Evaluation Squadron 1 (VMX-1) and Marine Fighter Training Squadron 401 (VMFT-401), an air combat adversary squadron of the 4th Marine Aircraft Wing of the Marine Corps Reserve. It is a designated Superfund site due to a number of soil and groundwater contaminants, including asbestos. </p><p>The station is 2 miles (1.7 nmi; 3.2 km) from the city of Yuma, Arizona. A joint use civilian-military airport, MCAS Yuma shares airfield facilities with Yuma International Airport and occupies approximately 3,000 acres (1,200 ha), most of which is flat desert. </p>	tactic or 4th an 3rd united home faa harrier 1 evaluation lid 32 to nmi marine facility joint yuma a which most air 401 test state use reserve fighter is km desert mile icao squadron training weapon soil lightning with site airfield number it operational vmx1 aviation adversary combat asbestos of due airport approximately f35b superfund vmft401 including groundwater and contaminant multiple from av8b mcas ii station ha 3000 1200 2 mawts1 17 knyl aircraft nyl corp city flat designated international arizona civilianmilitary acre the occupies wing share	US Marine Corps base in Yuma, Arizona, United States	yuma arizona base marine in u state corp united	Airports
